"region","arbetsställets sektortillhörighet","år",Förvärvsarbetande 16+ år med bostad i regionen (nattbefolkning) (RAMS)
"0115 Vallentuna","primärkommunal förvaltning","2016",1901
"0115 Vallentuna","primärkommunal förvaltning","2017",1961
"0115 Vallentuna","landsting","2008",294
"0115 Vallentuna","landsting","2009",289
"0115 Vallentuna","landsting","2010",282
"0115 Vallentuna","landsting","2011",278
"0115 Vallentuna","landsting","2012",287
"0115 Vallentuna","landsting","2013",282
"0115 Vallentuna","landsting","2014",281
"0115 Vallentuna","landsting","2015",290
"0115 Vallentuna","landsting","2016",298
"0115 Vallentuna","landsting","2017",297
"0115 Vallentuna","kommunalt ägda företag och organisationer","2008",375
"0115 Vallentuna","kommunalt ägda företag och organisationer","2009",394
"0115 Vallentuna","kommunalt ägda företag och organisationer","2010",388
"0115 Vallentuna","kommunalt ägda företag och organisationer","2011",385
"0115 Vallentuna","kommunalt ägda företag och organisationer","2012",396
"0115 Vallentuna","kommunalt ägda företag och organisationer","2013",411
"0115 Vallentuna","kommunalt ägda företag och organisationer","2014",404
"0115 Vallentuna","kommunalt ägda företag och organisationer","2015",427
"0115 Vallentuna","kommunalt ägda företag och organisationer","2016",418
"0115 Vallentuna","kommunalt ägda företag och organisationer","2017",444
"0117 Österåker","primärkommunal förvaltning","2008",2748
"0117 Österåker","primärkommunal förvaltning","2009",2628
"0117 Österåker","primärkommunal förvaltning","2010",2542
"0117 Österåker","primärkommunal förvaltning","2011",2488
"0117 Österåker","primärkommunal förvaltning","2012",2487
"0117 Österåker","primärkommunal förvaltning","2013",2463
"0117 Österåker","primärkommunal förvaltning","2014",2540
"0117 Österåker","primärkommunal förvaltning","2015",2415
"0117 Österåker","primärkommunal förvaltning","2016",2408
"0117 Österåker","primärkommunal förvaltning","2017",2488
"0117 Österåker","landsting","2008",375
"0117 Österåker","landsting","2009",367
"0117 Österåker","landsting","2010",339
"0117 Österåker","landsting","2011",339
"0117 Österåker","landsting","2012",346
"0117 Österåker","landsting","2013",316
"0117 Österåker","landsting","2014",322
"0117 Österåker","landsting","2015",327
"0117 Österåker","landsting","2016",341
"0117 Österåker","landsting","2017",338
"0117 Österåker","kommunalt ägda företag och organisationer","2008",566
"0117 Österåker","kommunalt ägda företag och organisationer","2009",566
"0117 Österåker","kommunalt ägda företag och organisationer","2010",576
"0117 Österåker","kommunalt ägda företag och organisationer","2011",578
"0117 Österåker","kommunalt ägda företag och organisationer","2012",603
"0117 Österåker","kommunalt ägda företag och organisationer","2013",608
"0117 Österåker","kommunalt ägda företag och organisationer","2014",590
"0117 Österåker","kommunalt ägda företag och organisationer","2015",600
"0117 Österåker","kommunalt ägda företag och organisationer","2016",628
"0117 Österåker","kommunalt ägda företag och organisationer","2017",639
"0120 Värmdö","primärkommunal förvaltning","2008",2872
"0120 Värmdö","primärkommunal förvaltning","2009",2794
"0120 Värmdö","primärkommunal förvaltning","2010",2819
"0120 Värmdö","primärkommunal förvaltning","2011",2759
"0120 Värmdö","primärkommunal förvaltning","2012",2759
"0120 Värmdö","primärkommunal förvaltning","2013",2783
"0120 Värmdö","primärkommunal förvaltning","2014",2836
"0120 Värmdö","primärkommunal förvaltning","2015",2885
"0120 Värmdö","primärkommunal förvaltning","2016",2888
"0120 Värmdö","primärkommunal förvaltning","2017",2964
"0120 Värmdö","landsting","2008",393
"0120 Värmdö","landsting","2009",380
"0120 Värmdö","landsting","2010",361
"0120 Värmdö","landsting","2011",372
"0120 Värmdö","landsting","2012",374
"0120 Värmdö","landsting","2013",366
"0120 Värmdö","landsting","2014",366
"0120 Värmdö","landsting","2015",393
"0120 Värmdö","landsting","2016",370
"0120 Värmdö","landsting","2017",405
"0120 Värmdö","kommunalt ägda företag och organisationer","2008",383
"0120 Värmdö","kommunalt ägda företag och organisationer","2009",423
"0120 Värmdö","kommunalt ägda företag och organisationer","2010",409
"0120 Värmdö","kommunalt ägda företag och organisationer","2011",384
"0120 Värmdö","kommunalt ägda företag och organisationer","2012",390
"0120 Värmdö","kommunalt ägda företag och organisationer","2013",381
"0120 Värmdö","kommunalt ägda företag och organisationer","2014",358
"0120 Värmdö","kommunalt ägda företag och organisationer","2015",359
"0120 Värmdö","kommunalt ägda företag och organisationer","2016",374
"0120 Värmdö","kommunalt ägda företag och organisationer","2017",404
"0123 Järfälla","primärkommunal förvaltning","2008",4341
"0123 Järfälla","primärkommunal förvaltning","2009",4312
"0123 Järfälla","primärkommunal förvaltning","2010",4266
"0123 Järfälla","primärkommunal förvaltning","2011",4196
"0123 Järfälla","primärkommunal förvaltning","2012",4344
"0123 Järfälla","primärkommunal förvaltning","2013",4563
"0123 Järfälla","primärkommunal förvaltning","2014",4523
"0123 Järfälla","primärkommunal förvaltning","2015",4753
"0123 Järfälla","primärkommunal förvaltning","2016",4993
"0123 Järfälla","primärkommunal förvaltning","2017",5342
"0123 Järfälla","landsting","2008",983
"0123 Järfälla","landsting","2009",936
"0123 Järfälla","landsting","2010",921
"0123 Järfälla","landsting","2011",936
"0123 Järfälla","landsting","2012",944
"0123 Järfälla","landsting","2013",971
"0123 Järfälla","landsting","2014",985
"0123 Järfälla","landsting","2015",996
"0123 Järfälla","landsting","2016",1027
"0123 Järfälla","landsting","2017",1049
"0123 Järfälla","kommunalt ägda företag och organisationer","2008",467
"0123 Järfälla","kommunalt ägda företag och organisationer","2009",467
"0123 Järfälla","kommunalt ägda företag och organisationer","2010",463
"0123 Järfälla","kommunalt ägda företag och organisationer","2011",465
"0123 Järfälla","kommunalt ägda företag och organisationer","2012",485
"0123 Järfälla","kommunalt ägda företag och organisationer","2013",510
"0123 Järfälla","kommunalt ägda företag och organisationer","2014",515
"0123 Järfälla","kommunalt ägda företag och organisationer","2015",533
"0123 Järfälla","kommunalt ägda företag och organisationer","2016",603
"0123 Järfälla","kommunalt ägda företag och organisationer","2017",639
"0125 Ekerö","primärkommunal förvaltning","2008",1708
"0125 Ekerö","primärkommunal förvaltning","2009",1667
"0125 Ekerö","primärkommunal förvaltning","2010",1635
"0125 Ekerö","primärkommunal förvaltning","2011",1606
"0125 Ekerö","primärkommunal förvaltning","2012",1589
"0125 Ekerö","primärkommunal förvaltning","2013",1591
"0125 Ekerö","primärkommunal förvaltning","2014",1580
"0125 Ekerö","primärkommunal förvaltning","2015",1649
"0125 Ekerö","primärkommunal förvaltning","2016",1611
"0125 Ekerö","primärkommunal förvaltning","2017",1605
"0125 Ekerö","landsting","2008",333
"0125 Ekerö","landsting","2009",326
"0125 Ekerö","landsting","2010",304
"0125 Ekerö","landsting","2011",315
"0125 Ekerö","landsting","2012",297
"0125 Ekerö","landsting","2013",319
"0125 Ekerö","landsting","2014",321
"0125 Ekerö","landsting","2015",314
"0125 Ekerö","landsting","2016",319
"0125 Ekerö","landsting","2017",310
"0125 Ekerö","kommunalt ägda företag och organisationer","2008",215
"0125 Ekerö","kommunalt ägda företag och organisationer","2009",243
"0125 Ekerö","kommunalt ägda företag och organisationer","2010",238
"0125 Ekerö","kommunalt ägda företag och organisationer","2011",234
"0125 Ekerö","kommunalt ägda företag och organisationer","2012",239
"0125 Ekerö","kommunalt ägda företag och organisationer","2013",223
"0125 Ekerö","kommunalt ägda företag och organisationer","2014",229
"0125 Ekerö","kommunalt ägda företag och organisationer","2015",225
"0125 Ekerö","kommunalt ägda företag och organisationer","2016",246
"0125 Ekerö","kommunalt ägda företag och organisationer","2017",242
"0126 Huddinge","primärkommunal förvaltning","2008",6356
"0126 Huddinge","primärkommunal förvaltning","2009",6158
"0126 Huddinge","primärkommunal förvaltning","2010",6225
"0126 Huddinge","primärkommunal förvaltning","2011",6087
"0126 Huddinge","primärkommunal förvaltning","2012",6144
"0126 Huddinge","primärkommunal förvaltning","2013",6133
"0126 Huddinge","primärkommunal förvaltning","2014",6172
"0126 Huddinge","primärkommunal förvaltning","2015",6424
"0126 Huddinge","primärkommunal förvaltning","2016",6668
"0126 Huddinge","primärkommunal förvaltning","2017",6730
"0126 Huddinge","landsting","2008",2249
"0126 Huddinge","landsting","2009",2067
"0126 Huddinge","landsting","2010",2118
"0126 Huddinge","landsting","2011",2083
"0126 Huddinge","landsting","2012",2110
"0126 Huddinge","landsting","2013",2112
"0126 Huddinge","landsting","2014",2139
"0126 Huddinge","landsting","2015",2137
"0126 Huddinge","landsting","2016",2202
"0126 Huddinge","landsting","2017",2236
"0126 Huddinge","kommunalt ägda företag och organisationer","2008",933
"0126 Huddinge","kommunalt ägda företag och organisationer","2009",981
"0126 Huddinge","kommunalt ägda företag och organisationer","2010",1008
"0126 Huddinge","kommunalt ägda företag och organisationer","2011",1005
"0126 Huddinge","kommunalt ägda företag och organisationer","2012",1064
"0126 Huddinge","kommunalt ägda företag och organisationer","2013",1027
"0126 Huddinge","kommunalt ägda företag och organisationer","2014",1027
"0126 Huddinge","kommunalt ägda företag och organisationer","2015",1051
"0126 Huddinge","kommunalt ägda företag och organisationer","2016",1120
"0126 Huddinge","kommunalt ägda företag och organisationer","2017",1124
"0127 Botkyrka","primärkommunal förvaltning","2008",5910
"0127 Botkyrka","primärkommunal förvaltning","2009",5629
"0127 Botkyrka","primärkommunal förvaltning","2010",5797
"0127 Botkyrka","primärkommunal förvaltning","2011",5843
"0127 Botkyrka","primärkommunal förvaltning","2012",5913
"0127 Botkyrka","primärkommunal förvaltning","2013",5959
"0127 Botkyrka","primärkommunal förvaltning","2014",6113
"0127 Botkyrka","primärkommunal förvaltning","2015",6343
"0127 Botkyrka","primärkommunal förvaltning","2016",6620
"0127 Botkyrka","primärkommunal förvaltning","2017",6694
"0127 Botkyrka","landsting","2008",1697
"0127 Botkyrka","landsting","2009",1535
"0127 Botkyrka","landsting","2010",1520
"0127 Botkyrka","landsting","2011",1518
"0127 Botkyrka","landsting","2012",1524
"0127 Botkyrka","landsting","2013",1571
"0127 Botkyrka","landsting","2014",1652
"0127 Botkyrka","landsting","2015",1667
"0127 Botkyrka","landsting","2016",1667
"0127 Botkyrka","landsting","2017",1683
"0127 Botkyrka","kommunalt ägda företag och organisationer","2008",671
"0127 Botkyrka","kommunalt ägda företag och organisationer","2009",681
"0127 Botkyrka","kommunalt ägda företag och organisationer","2010",706
"0127 Botkyrka","kommunalt ägda företag och organisationer","2011",706
"0127 Botkyrka","kommunalt ägda företag och organisationer","2012",732
"0127 Botkyrka","kommunalt ägda företag och organisationer","2013",756
"0127 Botkyrka","kommunalt ägda företag och organisationer","2014",754
"0127 Botkyrka","kommunalt ägda företag och organisationer","2015",762
"0127 Botkyrka","kommunalt ägda företag och organisationer","2016",760
"0127 Botkyrka","kommunalt ägda företag och organisationer","2017",811
"0128 Salem","primärkommunal förvaltning","2008",1256
"0128 Salem","primärkommunal förvaltning","2009",1231
"0128 Salem","primärkommunal förvaltning","2010",1199
"0128 Salem","primärkommunal förvaltning","2011",1213
"0128 Salem","primärkommunal förvaltning","2012",1229
"0128 Salem","primärkommunal förvaltning","2013",1248
"0128 Salem","primärkommunal förvaltning","2014",1232
"0128 Salem","primärkommunal förvaltning","2015",1256
"0128 Salem","primärkommunal förvaltning","2016",1260
"0128 Salem","primärkommunal förvaltning","2017",1252
"0128 Salem","landsting","2008",386
"0128 Salem","landsting","2009",336
"0128 Salem","landsting","2010",328
"0128 Salem","landsting","2011",338
"0128 Salem","landsting","2012",330
"0128 Salem","landsting","2013",338
"0128 Salem","landsting","2014",342
"0128 Salem","landsting","2015",335
"0128 Salem","landsting","2016",343
"0128 Salem","landsting","2017",328
"0128 Salem","kommunalt ägda företag och organisationer","2008",179
"0128 Salem","kommunalt ägda företag och organisationer","2009",182
"0128 Salem","kommunalt ägda företag och organisationer","2010",213
"0128 Salem","kommunalt ägda företag och organisationer","2011",211
"0128 Salem","kommunalt ägda företag och organisationer","2012",218
"0128 Salem","kommunalt ägda företag och organisationer","2013",222
"0128 Salem","kommunalt ägda företag och organisationer","2014",213
"0128 Salem","kommunalt ägda företag och organisationer","2015",208
"0128 Salem","kommunalt ägda företag och organisationer","2016",201
"0128 Salem","kommunalt ägda företag och organisationer","2017",215
"0136 Haninge","primärkommunal förvaltning","2008",5443
"0136 Haninge","primärkommunal förvaltning","2009",5254
"0136 Haninge","primärkommunal förvaltning","2010",5233
"0136 Haninge","primärkommunal förvaltning","2011",5168
"0136 Haninge","primärkommunal förvaltning","2012",5183
"0136 Haninge","primärkommunal förvaltning","2013",5188
"0136 Haninge","primärkommunal förvaltning","2014",5232
"0136 Haninge","primärkommunal förvaltning","2015",5361
"0136 Haninge","primärkommunal förvaltning","2016",5532
"0136 Haninge","primärkommunal förvaltning","2017",5683
"0136 Haninge","landsting","2008",1053
"0136 Haninge","landsting","2009",810
"0136 Haninge","landsting","2010",812
"0136 Haninge","landsting","2011",799
"0136 Haninge","landsting","2012",824
"0136 Haninge","landsting","2013",850
"0136 Haninge","landsting","2014",896
"0136 Haninge","landsting","2015",883
"0136 Haninge","landsting","2016",914
"0136 Haninge","landsting","2017",952
"0136 Haninge","kommunalt ägda företag och organisationer","2008",861
"0136 Haninge","kommunalt ägda företag och organisationer","2009",861
"0136 Haninge","kommunalt ägda företag och organisationer","2010",819
"0136 Haninge","kommunalt ägda företag och organisationer","2011",832
"0136 Haninge","kommunalt ägda företag och organisationer","2012",835
"0136 Haninge","kommunalt ägda företag och organisationer","2013",808
"0136 Haninge","kommunalt ägda företag och organisationer","2014",800
"0136 Haninge","kommunalt ägda företag och organisationer","2015",821
"0136 Haninge","kommunalt ägda företag och organisationer","2016",833
"0136 Haninge","kommunalt ägda företag och organisationer","2017",855
"0138 Tyresö","primärkommunal förvaltning","2008",2959
"0138 Tyresö","primärkommunal förvaltning","2009",2838
"0138 Tyresö","primärkommunal förvaltning","2010",2846
"0138 Tyresö","primärkommunal förvaltning","2011",2774
"0138 Tyresö","primärkommunal förvaltning","2012",2827
"0138 Tyresö","primärkommunal förvaltning","2013",2892
"0138 Tyresö","primärkommunal förvaltning","2014",2878
"0138 Tyresö","primärkommunal förvaltning","2015",2978
"0138 Tyresö","primärkommunal förvaltning","2016",3085
"0138 Tyresö","primärkommunal förvaltning","2017",3087
"0138 Tyresö","landsting","2008",511
"0138 Tyresö","landsting","2009",444
"0138 Tyresö","landsting","2010",450
"0138 Tyresö","landsting","2011",442
"0138 Tyresö","landsting","2012",470
"0138 Tyresö","landsting","2013",495
"0138 Tyresö","landsting","2014",514
"0138 Tyresö","landsting","2015",508
"0138 Tyresö","landsting","2016",513
"0138 Tyresö","landsting","2017",521
"0138 Tyresö","kommunalt ägda företag och organisationer","2008",441
"0138 Tyresö","kommunalt ägda företag och organisationer","2009",472
"0138 Tyresö","kommunalt ägda företag och organisationer","2010",453
"0138 Tyresö","kommunalt ägda företag och organisationer","2011",454
"0138 Tyresö","kommunalt ägda företag och organisationer","2012",468
"0138 Tyresö","kommunalt ägda företag och organisationer","2013",459
"0138 Tyresö","kommunalt ägda företag och organisationer","2014",470
"0138 Tyresö","kommunalt ägda företag och organisationer","2015",488
"0138 Tyresö","kommunalt ägda företag och organisationer","2016",521
"0138 Tyresö","kommunalt ägda företag och organisationer","2017",537
"0139 Upplands-Bro","primärkommunal förvaltning","2008",1781
"0139 Upplands-Bro","primärkommunal förvaltning","2009",1774
"0139 Upplands-Bro","primärkommunal förvaltning","2010",1804
"0139 Upplands-Bro","primärkommunal förvaltning","2011",1771
"0139 Upplands-Bro","primärkommunal förvaltning","2012",1787
"0139 Upplands-Bro","primärkommunal förvaltning","2013",1774
"0139 Upplands-Bro","primärkommunal förvaltning","2014",1815
"0139 Upplands-Bro","primärkommunal förvaltning","2015",1920
"0139 Upplands-Bro","primärkommunal förvaltning","2016",2042
"0139 Upplands-Bro","primärkommunal förvaltning","2017",2119
"0139 Upplands-Bro","landsting","2008",371
"0139 Upplands-Bro","landsting","2009",347
"0139 Upplands-Bro","landsting","2010",347
"0139 Upplands-Bro","landsting","2011",343
"0139 Upplands-Bro","landsting","2012",346
"0139 Upplands-Bro","landsting","2013",348
"0139 Upplands-Bro","landsting","2014",367
"0139 Upplands-Bro","landsting","2015",370
"0139 Upplands-Bro","landsting","2016",375
"0139 Upplands-Bro","landsting","2017",350
"0139 Upplands-Bro","kommunalt ägda företag och organisationer","2008",213
"0139 Upplands-Bro","kommunalt ägda företag och organisationer","2009",219
"0139 Upplands-Bro","kommunalt ägda företag och organisationer","2010",228
"0139 Upplands-Bro","kommunalt ägda företag och organisationer","2011",228
"0139 Upplands-Bro","kommunalt ägda företag och organisationer","2012",234
"0139 Upplands-Bro","kommunalt ägda företag och organisationer","2013",243
"0139 Upplands-Bro","kommunalt ägda företag och organisationer","2014",236
"0139 Upplands-Bro","kommunalt ägda företag och organisationer","2015",211
"0139 Upplands-Bro","kommunalt ägda företag och organisationer","2016",209
"0139 Upplands-Bro","kommunalt ägda företag och organisationer","2017",226
"0140 Nykvarn","primärkommunal förvaltning","2008",748
"0140 Nykvarn","primärkommunal förvaltning","2009",730
"0140 Nykvarn","primärkommunal förvaltning","2010",744
"0140 Nykvarn","primärkommunal förvaltning","2011",731
"0140 Nykvarn","primärkommunal förvaltning","2012",725
"0140 Nykvarn","primärkommunal förvaltning","2013",725
"0140 Nykvarn","primärkommunal förvaltning","2014",750
"0140 Nykvarn","primärkommunal förvaltning","2015",783
"0140 Nykvarn","primärkommunal förvaltning","2016",803
"0140 Nykvarn","primärkommunal förvaltning","2017",813
"0140 Nykvarn","landsting","2008",178
"0140 Nykvarn","landsting","2009",107
"0140 Nykvarn","landsting","2010",97
"0140 Nykvarn","landsting","2011",99
"0140 Nykvarn","landsting","2012",93
"0140 Nykvarn","landsting","2013",96
"0140 Nykvarn","landsting","2014",103
"0140 Nykvarn","landsting","2015",107
"0140 Nykvarn","landsting","2016",109
"0140 Nykvarn","landsting","2017",116
"0140 Nykvarn","kommunalt ägda företag och organisationer","2008",114
"0140 Nykvarn","kommunalt ägda företag och organisationer","2009",114
"0140 Nykvarn","kommunalt ägda företag och organisationer","2010",184
"0140 Nykvarn","kommunalt ägda företag och organisationer","2011",186
"0140 Nykvarn","kommunalt ägda företag och organisationer","2012",219
"0140 Nykvarn","kommunalt ägda företag och organisationer","2013",226
"0140 Nykvarn","kommunalt ägda företag och organisationer","2014",231
"0140 Nykvarn","kommunalt ägda företag och organisationer","2015",245
"0140 Nykvarn","kommunalt ägda företag och organisationer","2016",252
"0140 Nykvarn","kommunalt ägda företag och organisationer","2017",250
"0160 Täby","primärkommunal förvaltning","2008",2535
"0160 Täby","primärkommunal förvaltning","2009",2392
"0160 Täby","primärkommunal förvaltning","2010",2364
"0160 Täby","primärkommunal förvaltning","2011",2305
"0160 Täby","primärkommunal förvaltning","2012",2280
"0160 Täby","primärkommunal förvaltning","2013",2250
"0160 Täby","primärkommunal förvaltning","2014",2273
"0160 Täby","primärkommunal förvaltning","2015",2247
"0160 Täby","primärkommunal förvaltning","2016",2315
"0160 Täby","primärkommunal förvaltning","2017",2391
"0160 Täby","landsting","2008",794
"0160 Täby","landsting","2009",758
"0160 Täby","landsting","2010",707
"0160 Täby","landsting","2011",686
"0160 Täby","landsting","2012",661
"0160 Täby","landsting","2013",718
"0160 Täby","landsting","2014",735
"0160 Täby","landsting","2015",749
"0160 Täby","landsting","2016",749
"0160 Täby","landsting","2017",759
"0160 Täby","kommunalt ägda företag och organisationer","2008",747
"0160 Täby","kommunalt ägda företag och organisationer","2009",770
"0160 Täby","kommunalt ägda företag och organisationer","2010",793
"0160 Täby","kommunalt ägda företag och organisationer","2011",771
"0160 Täby","kommunalt ägda företag och organisationer","2012",764
"0160 Täby","kommunalt ägda företag och organisationer","2013",752
"0160 Täby","kommunalt ägda företag och organisationer","2014",762
"0160 Täby","kommunalt ägda företag och organisationer","2015",779
"0160 Täby","kommunalt ägda företag och organisationer","2016",767
"0160 Täby","kommunalt ägda företag och organisationer","2017",803
"0162 Danderyd","primärkommunal förvaltning","2008",899
"0162 Danderyd","primärkommunal förvaltning","2009",864
"0162 Danderyd","primärkommunal förvaltning","2010",834
"0162 Danderyd","primärkommunal förvaltning","2011",791
"0162 Danderyd","primärkommunal förvaltning","2012",813
"0162 Danderyd","primärkommunal förvaltning","2013",778
"0162 Danderyd","primärkommunal förvaltning","2014",771
"0162 Danderyd","primärkommunal förvaltning","2015",735
"0162 Danderyd","primärkommunal förvaltning","2016",775
"0162 Danderyd","primärkommunal förvaltning","2017",759
"0162 Danderyd","landsting","2008",481
"0162 Danderyd","landsting","2009",467
"0162 Danderyd","landsting","2010",430
"0162 Danderyd","landsting","2011",424
"0162 Danderyd","landsting","2012",404
"0162 Danderyd","landsting","2013",411
"0162 Danderyd","landsting","2014",406
"0162 Danderyd","landsting","2015",405
"0162 Danderyd","landsting","2016",399
"0162 Danderyd","landsting","2017",379
"0162 Danderyd","kommunalt ägda företag och organisationer","2008",416
"0162 Danderyd","kommunalt ägda företag och organisationer","2009",429
"0162 Danderyd","kommunalt ägda företag och organisationer","2010",444
"0162 Danderyd","kommunalt ägda företag och organisationer","2011",427
"0162 Danderyd","kommunalt ägda företag och organisationer","2012",426
"0162 Danderyd","kommunalt ägda företag och organisationer","2013",435
"0162 Danderyd","kommunalt ägda företag och organisationer","2014",409
"0162 Danderyd","kommunalt ägda företag och organisationer","2015",422
"0162 Danderyd","kommunalt ägda företag och organisationer","2016",409
"0162 Danderyd","kommunalt ägda företag och organisationer","2017",425
"0163 Sollentuna","primärkommunal förvaltning","2008",2896
"0163 Sollentuna","primärkommunal förvaltning","2009",2836
"0163 Sollentuna","primärkommunal förvaltning","2010",2836
"0163 Sollentuna","primärkommunal förvaltning","2011",2853
"0163 Sollentuna","primärkommunal förvaltning","2012",2872
"0163 Sollentuna","primärkommunal förvaltning","2013",2636
"0163 Sollentuna","primärkommunal förvaltning","2014",2583
"0163 Sollentuna","primärkommunal förvaltning","2015",2598
"0163 Sollentuna","primärkommunal förvaltning","2016",2693
"0163 Sollentuna","primärkommunal förvaltning","2017",2697
"0163 Sollentuna","landsting","2008",978
"0163 Sollentuna","landsting","2009",970
"0163 Sollentuna","landsting","2010",994
"0163 Sollentuna","landsting","2011",985
"0163 Sollentuna","landsting","2012",995
"0163 Sollentuna","landsting","2013",1042
"0163 Sollentuna","landsting","2014",1034
"0163 Sollentuna","landsting","2015",1052
"0163 Sollentuna","landsting","2016",1037
"0163 Sollentuna","landsting","2017",1039
"0163 Sollentuna","kommunalt ägda företag och organisationer","2008",636
"0163 Sollentuna","kommunalt ägda företag och organisationer","2009",656
"0163 Sollentuna","kommunalt ägda företag och organisationer","2010",668
"0163 Sollentuna","kommunalt ägda företag och organisationer","2011",612
"0163 Sollentuna","kommunalt ägda företag och organisationer","2012",643
"0163 Sollentuna","kommunalt ägda företag och organisationer","2013",863
"0163 Sollentuna","kommunalt ägda företag och organisationer","2014",999
"0163 Sollentuna","kommunalt ägda företag och organisationer","2015",1025
"0163 Sollentuna","kommunalt ägda företag och organisationer","2016",1059
"0163 Sollentuna","kommunalt ägda företag och organisationer","2017",1065
"0180 Stockholm","primärkommunal förvaltning","2008",45503
"0180 Stockholm","primärkommunal förvaltning","2009",44121
"0180 Stockholm","primärkommunal förvaltning","2010",44095
"0180 Stockholm","primärkommunal förvaltning","2011",42989
"0180 Stockholm","primärkommunal förvaltning","2012",43653
"0180 Stockholm","primärkommunal förvaltning","2013",43192
"0180 Stockholm","primärkommunal förvaltning","2014",43719
"0180 Stockholm","primärkommunal förvaltning","2015",45223
"0180 Stockholm","primärkommunal förvaltning","2016",46510
"0180 Stockholm","primärkommunal förvaltning","2017",47042
"0180 Stockholm","landsting","2008",14178
"0180 Stockholm","landsting","2009",13420
"0180 Stockholm","landsting","2010",13614
"0180 Stockholm","landsting","2011",13879
"0180 Stockholm","landsting","2012",14230
"0180 Stockholm","landsting","2013",14758
"0180 Stockholm","landsting","2014",15262
"0180 Stockholm","landsting","2015",15291
"0180 Stockholm","landsting","2016",15402
"0180 Stockholm","landsting","2017",15226
"0180 Stockholm","kommunalt ägda företag och organisationer","2008",8023
"0180 Stockholm","kommunalt ägda företag och organisationer","2009",8575
"0180 Stockholm","kommunalt ägda företag och organisationer","2010",8651
"0180 Stockholm","kommunalt ägda företag och organisationer","2011",8672
"0180 Stockholm","kommunalt ägda företag och organisationer","2012",9060
"0180 Stockholm","kommunalt ägda företag och organisationer","2013",9144
"0180 Stockholm","kommunalt ägda företag och organisationer","2014",9400
"0180 Stockholm","kommunalt ägda företag och organisationer","2015",9783
"0180 Stockholm","kommunalt ägda företag och organisationer","2016",9899
"0180 Stockholm","kommunalt ägda företag och organisationer","2017",10167
"0181 Södertälje","primärkommunal förvaltning","2008",5877
"0181 Södertälje","primärkommunal förvaltning","2009",5640
"0181 Södertälje","primärkommunal förvaltning","2010",5580
"0181 Södertälje","primärkommunal förvaltning","2011",5765
"0181 Södertälje","primärkommunal förvaltning","2012",5843
"0181 Södertälje","primärkommunal förvaltning","2013",5928
"0181 Södertälje","primärkommunal förvaltning","2014",6047
"0181 Södertälje","primärkommunal förvaltning","2015",6148
"0181 Södertälje","primärkommunal förvaltning","2016",6450
"0181 Södertälje","primärkommunal förvaltning","2017",6533
"0181 Södertälje","landsting","2008",1507
"0181 Södertälje","landsting","2009",848
"0181 Södertälje","landsting","2010",823
"0181 Södertälje","landsting","2011",801
"0181 Södertälje","landsting","2012",819
"0181 Södertälje","landsting","2013",814
"0181 Södertälje","landsting","2014",843
"0181 Södertälje","landsting","2015",823
"0181 Södertälje","landsting","2016",836
